Salif Goethals  ⚪ 🔵;@ElBielsalif;1476108175;Booba ou Rohff ? — #Rohff bien sûr Booba il est guez frère http://curiouscat.me/3433926897/post/30328848 …;0;0;0;
Sèdo;@SedoTossou;1476106525;Niska, PNL, Gradur, SCH tu vas me dire que c'est mieux que Booba, Rohff des années 2000, IAM, Lino et j'en passe ? Esh... https://twitter.com/LowXIII/status/785473053283192832 …;2;1;0;
GTO;@DylanMoosliah;1476093808;Ptn j'ai retrouvé un post de moi sur le 15-18 où je défendais Booba contre Rohff, j'étais déjà un ratepi j'avais écrit un pavé sa mère;0;0;2;
10  🎈;@Mehdi_Carter;1476091605;dans l'histoire du rap vous oublier trop La Fouine bande de pti con, Croyez moi il a rien a envier a Booba & Rohff;0;1;0;
RandyDims;@Randydims;1476090185;J'aime une vidéo @YouTube : "Rohff explique le clash avec Booba, Rimk, Menez:"Partout ou tu vas t'es recu avec des Wesh Zoulette"" à;0;0;0;
Une Suedoise 🇸🇪 🇩🇿;@TuVasPaarler;1476062364;Rohff n'aurai jms rentrer dans les délire de clash, Lafouine Il été fort, rohff plus que fort et Booba l'a été et l'est encr, voilà la diff;0;2;0;
pedrolito;@KPedrono;1476061168;@liberta940 pourquoi l ' équipe de Rohff ne saute pas Booba vite fait bien fait ?;1;7;2;
mathias;@fils2timp;1476049547;Bonne nuit à tous sauf à ceux qui disent que Rohff est meilleur que Booba;0;34;28;
HADÈS  ♉;@Yurann_Dalmeida;1476049445;Moi même qui n'aime pas le Football, je peux dire que dans le clash Booba Vs Rohff, voici un putain d'enculé de lèche cul de Rohffiste. Elan https://twitter.com/Smofi/status/785207016696479744 …;1;11;2;
K e e p C a l m;@Mouayad_Hdr;1476040274;La présidentielle aux US cst un autre game crari ça balance des dossiers en mode rohff vs booba;0;12;2;
Renoi du 94;@lecoupdusiecle;1476039056;@AllEyesOnMePac @RaptualitesFR il partage rien de rohff mai pour booba il partage même quand sa fille est a la piscine, y les pa neutre;1;1;1;
Monde de Culture;@MondeDeCulture;1476038390;Booba : Rohff le clashe-t-il dans Culture UrbHaine, son dernier ... - melty.fr https://goo.gl/QPaUAt pic.twitter.com/z32kDDPo8q;1;1;0;
Me Against World;@AllEyesOnMePac;1476028379;Tu post tout les post clash de Booba mais ta jamais posté le morceau de Rohff https://twitter.com/RaptualitesFR/status/784839287292497920 …;1;1;1;
Sangoku;@Nass691;1476024094;Tout sa cause du clash Rohff/Booba;0;0;0;
je_men_ba_lé_couille;@koucisky;1476020718;Alor g ecouté @booba et jai ecouté @rohff mé je né pa encore vu un putain de clash ki me fera changé davi sur le meilleur dentre eux .;0;1;0;
Zam's;@Zamseuh;1476019664;Un feat Booba Rohff t'aimerai bien voir ? — Nan http://curiouscat.me/318569379/post/29920400 …;0;0;0;
Eva Yfa;@justevaa;1476009902;Ca di rohff>booba mai ca a jms ecoute temps mort mauvais oeil etc aller nashav AUSSI;0;3;0;
Homer D. Teach;@gwadaveli;1475972557;@zbatatruuc ouais voila mdr par exemple les sujets entre Rohff et Booba c'est subjectif mais faut être un fils de pute pour dire Niska > B2O;1;1;0;
Né d'esprit;@NissyaNlg;1475969686;Pourquoi je revois des actu de Booba et rohff dans ma Tl je vais te désabonné toi;0;1;2;
Aladin Qlf;@AissaQlf;1475967885;@942____ @Malien_Malin @Madrid10ta Wsh a croire ninho c booba ou rohff;0;0;1;
667;@Oniizuka92_;1475957488;Booba ft PNL si c vrai Rohff va Peter un cable ptdrr;1;0;1;
Fan d'IceJJFish;@le_yann_pi;1475944169;4 - Booba : Duc autoproclamé du rap Français mais il s'appelait Tic-Tac avant inh faut pas oublier et on sait tous que Rohff est le meilleur pic.twitter.com/wKeAypZ5B7;1;8;2;
Homer D. Teach;@gwadaveli;1475944149;@Yallaryn mdrr "Booba est plus grand - oui mais Rohff c'est un bonhomme";1;2;0;
Homer D. Teach;@gwadaveli;1475943512;Mdr qui se souvient des débats sur qui est le plus fort dans la rue entre Rohff et Booba ?;0;2;0;
NMC;@NassimNe;1475938951;@Adam_Gnn Booba et Rohff n'ont qu'a bien se tenir;0;0;0;
MajinOnizuka ⚪️ ⚫️;@_LePerturbateur;1475928131;Mdr les gens qui disent Rohff > Booba vous êtes des fous, Booba il en a 18 des cerveaux de Rohff dans sa poche;0;2;0;
SOSA™;@SoSaaaaaaaa7;1475923256;ROHFF ->>>>>>>>>> BOOBA https://twitter.com/Malwinos/status/761315892370243584 …;0;1;2;
AlbanianWithAttitude;@Admir_fdlrc;1475923055;" L'argent c'est comme le nutella, - t'en a + tu l'étale " j'etais même pas pret quand rohff il dit sa a booba;2;47;26;
Christophe Berthemin;@cberthemin;1475922151;#CreerUnFilmHipHop Harry Potter & la Coupe Nekfeu, Sopranormal Activity, Arrête Booba mère va tirer!, Prince Rohff Persia, les Kaaristochats;0;1;1;
garcimore;@Paulinex21;1475920316;team booba jusqu'a la muerte mais faut avouer que rohff avec dounia il a pas blagué;0;1;0;
PerduPerturbé;@RiiFiiiA;1475919668;Rohff >>>>>>>>> booba ×1000000 https://twitter.com/na2s_/status/784689511762722816 …;0;3;1;
santchelitoo mgl;@RX176;1475910854;Commencer pas à tailler mon gars sur vous croyez booba rohff dès le débute i savai rapper vos mère la https://twitter.com/amineposey/status/784502566243692544 …;0;0;0;
leï;@__leilux;1475891431;Rohff il a enculè booba la salop sur ce son c trop;0;0;1;
W 🇩🇿;@Wilem__;1475884343;Morsay clash Booba et soutient Rohff qui est en prison https://www.youtube.com/watch?v=8F1Gbe48FXs&feature=share …;0;0;0;
sara;@srtrd216;1475876139;c'est nous la rue l booba x rohff x rim'k;0;0;1;
Gufetto;@SkyWalker_White;1475870702;@Lifsaa Rohff sort du vrai rap ça dit c'est de la merde, Booba sort de la zumba ça dit;1;2;2;
annadjib;@annadjib;1475869678;Rohff avec sa haine contre booba s'il n'active pas son sharingan c'est mort;0;2;5;
Homer D. Teach;@gwadaveli;1475864874;J'ai toujours trouvé Booba meilleur que Rohff mais vu le niveau des 2 à l'ancienne il y a que les suceurs qui te diront qu'il y a pas débat;0;29;2;
Il Imperatore™;@Sao__Tao;1475859031;Si Booba et Rohff étaient des marques de vêtements, Booba serait Nike et Rohff Puma. L indémodable et le "Ah ouais c était lourd".;4;32;7;
Self Made Man;@Yarko203;1475857247;Rohff adresse-t-il un message à Booba dans Culture UrbHaine ? http://www.13or-du-hiphop.fr/2016/10/04/rohff-adresse-t-il-un-message-a-booba-dans-culture-urbhaine/ … via @ @13or_du_hiphop;0;1;1;
houria escobar;@jupitheir;1475855745;votre pote Ines elle me fait un quizz rap francais YA booba rohff et LA j'entends quoi??? Une récitation du Coran;0;1;0;
PSG;@HarounaKo;1475840188;C comme quand je vois des "JUL > Rohff" ou "PNL > Booba" https://twitter.com/alleyesonmepac/status/784353133094928384 …;2;29;11;
#liberezlacrim  🔫;@pixeh_;1475824918;vous parlez sur rohff mais en attendant ce son couche "elephant" de booba sur toute la ligne pic.twitter.com/nIm2wofoT5;0;2;3;
Tonton Marcel;@tontonmarcel91;1475820725;ALP le rappeur validé par rohff et booba https://youtu.be/19bQ8eOsZUs  via;1;2;0;
 👀;@aniss_aaa;1475789694;Rohff ceci, Rohff cela, Rohff menace Booba;0;2;1;
LE D  🇧🇷 X  🇺🇸;@VGT_92;1475789173;J'me demande qui a les plus grand classique entre Booba et Rohff ? C'est vraiment serrer;2;2;0;
spartiate;@Melainski_;1475787390;La jrécoute wesh zoulette de rohff starfoulah cmmnt il nik booba jui bouleversé;0;6;1;
Le M  😈;@YuzaaXZ;1475786473;Redites une fois que rohff est pas meilleur que Booba J'vous arraché vos yeux https://twitter.com/_don_khalil/status/784059196190953472 …;0;1;0;
Aىお유B;@DonBouillon;1475784200;ué Niro > Booba, Rohff, PNL qui vous voulez, faites pas les puristes avc moi;0;1;0;
Sabo;@NorNor_94;1475774411;Rohff > Booba .;2;18;3;
Dramso;@DRAWMSO;1475774172;Le 11 novembre j'sens que Booba va annoncer son album pour le même jour que Kaaris et cette fois Rohff va suivre avec Surnaturel;0;1;0;
KHEYOU;@Emir_kb9;1475773570;À l'ancienne Rohff buvait Booba;0;0;2;
Tache de Gras;@tache_de_gras;1475770816;Niquez vous avec vos PNL, Jul, Rohff, Booba, la Fouine... Le boss du rap game c'est Fuzati;1;3;3;
Il Imperatore™;@Sao__Tao;1475770439;sur l'ensemble de leurs oeuvres booba ou rohff ? — question sérieuse ? Jcrois y a même plus de débat o... http://curiouscat.me/1538923508/post/28969673 …;1;1;1;
Renoi du 94;@lecoupdusiecle;1475769503;Il fût une époque proche ou les gens refusaient de comparer la mafia k'1f a la sexion maintenant sa compare rohff, booba... A jul, pnl...;0;17;4;
JUL;@YACINELELYON;1475765681;@lastacass Petit j’écoute Luc’, Booba, Rohff Là l’rap a changé, sur l'grand-père je marronne #JULPREMIERSURLERAP @JUL A BU LA CONCU #TEAMJULpic.twitter.com/LKVsjNUduh;1;4;2;
D;@syainz;1475765630;@lastacass Bah maintenant c Rohff et Booba qui ecoute du PNL;1;2;0;
MKT  1️⃣;@Ayoubya19;1475765086;Nvm avec booba rohff c'est que des classique;0;5;1;
A.;@Japonegro94;1475759129;Boule il s'est incruster comme La Fouine dans le clash Booba vs Rohff https://twitter.com/jojols1/status/784015562850656256 …;0;4;4;
Héta Oh;@HetaOh;1475747120;@Mbkuss1 Ta dit Booba avant Kery James et Rohff. Booba à de bonnes instru mais ne rap pas vraiment. 2 PAR = Kery James ou Rohff;1;1;0;
ᗪOᑎ KᕼᗩᒪIᒪ 💀 🇨🇴 🇹🇳;@_don_khalil;1475733278;SVP dites pas Booba il est plus fort que rohff Psk sa n'a aucun sens :/;0;1;0;
fethi;@fethi0010;1475723956;@Souleigims rohff 4 mars booba 5 mars;1;0;1;
b2s 🍰;@leanchihiro;1475706072;@lisahrndz @str8outtahymen @vkvly booba vs rohff;1;1;2;
Mbk;@mbk2093;1475705712;Et Booba rohff Kery cest qui? https://twitter.com/reveillere_off/status/486901069172457472 …;1;1;0;
Malr;@kbl213;1475704718;Bonne nuit tt lmonde sauf ceux qui pensent Rohff >> Booba;0;3;0;
b2s 🍰;@leanchihiro;1475703629;@vkvly @CJerem34 @timo_201 tg cousine tu te donnes o max de tes capacités moi jsui a 3% jsuis booba toi t rohff tlm sfou dta gueule;2;5;2;
